### DEBUG OUTPUT START ###
	CLUSTAL_ALL_FILE: /mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/output/clustal/clustal_all
	CLUSTAL_ALIGNMENT_FILE: /mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/output/clustal/clustal_all.aln
### DEBUG OUTPUT END ###
Running clustalw2
/mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/scripts/clustal_run.sh: line 17: [: ==: unary operator expected
clustalw2 cmd: clustalw2 -align -type=DNA -infile=/mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/output/clustal/clustal_all -outfile=/mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/output/clustal/clustal_all.aln



 CLUSTAL 2.0.12 Multiple Sequence Alignments


Sequence type explicitly set to DNA
Sequence format is Pearson
Sequence 1: SEQ0000001  1475 bp
Sequences (18:33) Aligned. Score:  80
Sequences (18:34) Aligned. Score:  78
Sequences (18:35) Aligned. Score:  79
Sequences (18:36) Aligned. Score:  73
Sequences (18:37) Aligned. Score:  75
Sequences (18:38) Aligned. Score:  77
Sequences (18:39) Aligned. Score:  75
Sequences (18:40) Aligned. Score:  79
Sequences (18:41) Aligned. Score:  89
Sequences (18:42) Aligned. Score:  83
Sequences (18:43) Aligned. Score:  90
Sequences (18:44) Aligned. Score:  89
Sequences (19:20) Aligned. Score:  82
Sequences (19:21) Aligned. Score:  72
Sequences (19:22) Aligned. Score:  73
Sequences (19:23) Aligned. Score:  75
Sequences (19:24) Aligned. Score:  72
Sequences (19:25) Aligned. Score:  74
Sequences (19:26) Aligned. Score:  71
Sequences (19:27) Aligned. Score:  75
Sequences (19:28) Aligned. Score:  73
Sequences (19:29) Aligned. Score:  72
Sequences (19:30) Aligned. Score:  74
Sequences (19:31) Aligned. Score:  72
Sequences (19:32) Aligned. Score:  77
Sequences (19:33) Aligned. Score:  74
Sequences (19:34) Aligned. Score:  76
Sequences (19:35) Aligned. Score:  74
Sequences (19:36) Aligned. Score:  69
Sequences (19:37) Aligned. Score:  70
Sequences (19:38) Aligned. Score:  74
Sequences (19:39) Aligned. Score:  73
Sequences (19:40) Aligned. Score:  77
Sequences (19:41) Aligned. Score:  80
Sequences (19:42) Aligned. Score:  77
Sequences (19:43) Aligned. Score:  82
Sequences (19:44) Aligned. Score:  81
Sequences (20:21) Aligned. Score:  74
Sequences (20:22) Aligned. Score:  76
Sequences (20:23) Aligned. Score:  78
Sequences (20:24) Aligned. Score:  77
Sequences (20:25) Aligned. Score:  76
Sequences (20:26) Aligned. Score:  74
Sequences (20:27) Aligned. Score:  73
Sequences (20:28) Aligned. Score:  75
Sequences (20:29) Aligned. Score:  74
Sequences (20:30) Aligned. Score:  76
Sequences (20:31) Aligned. Score:  77
Sequences (20:32) Aligned. Score:  79
Sequences (20:33) Aligned. Score:  79
Sequences (20:34) Aligned. Score:  81
Sequences (20:35) Aligned. Score:  77
Sequences (20:36) Aligned. Score:  71
Sequences (20:37) Aligned. Score:  76
Sequences (20:38) Aligned. Score:  77
Sequences (20:39) Aligned. Score:  73
Sequences (20:40) Aligned. Score:  79
Sequences (20:41) Aligned. Score:  76
Sequences (20:42) Aligned. Score:  75
Sequences (20:43) Aligned. Score:  79
Sequences (20:44) Aligned. Score:  77
Sequences (21:22) Aligned. Score:  81
Sequences (21:23) Aligned. Score:  72
Sequences (21:24) Aligned. Score:  74
Sequences (21:25) Aligned. Score:  72
Sequences (21:26) Aligned. Score:  71
Sequences (21:27) Aligned. Score:  75
Sequences (21:28) Aligned. Score:  73
Sequences (21:29) Aligned. Score:  75
Sequences (21:30) Aligned. Score:  78
Sequences (21:31) Aligned. Score:  80
Sequences (21:32) Aligned. Score:  77
Sequences (21:33) Aligned. Score:  76
Sequences (21:34) Aligned. Score:  73
Sequences (21:35) Aligned. Score:  76
Sequences (21:36) Aligned. Score:  71
Sequences (21:37) Aligned. Score:  71
Sequences (21:38) Aligned. Score:  73
Sequences (21:39) Aligned. Score:  76
Sequences (21:40) Aligned. Score:  78
Sequences (21:41) Aligned. Score:  70
Sequences (21:42) Aligned. Score:  64
Sequences (21:43) Aligned. Score:  74
Sequences (21:44) Aligned. Score:  72
Sequences (22:23) Aligned. Score:  75
Sequences (22:24) Aligned. Score:  72
Sequences (22:25) Aligned. Score:  76
Sequences (22:26) Aligned. Score:  74
Sequences (22:27) Aligned. Score:  75
Sequences (22:28) Aligned. Score:  75
Sequences (22:29) Aligned. Score:  73
Sequences (22:30) Aligned. Score:  74
Sequences (22:31) Aligned. Score:  77
Sequences (22:32) Aligned. Score:  76
Sequences (22:33) Aligned. Score:  77
Sequences (22:34) Aligned. Score:  75
Sequences (22:35) Aligned. Score:  76
Sequences (22:36) Aligned. Score:  70
Sequences (22:37) Aligned. Score:  74
Sequences (22:38) Aligned. Score:  76
Sequences (22:39) Aligned. Score:  74
Sequences (22:40) Aligned. Score:  78
Sequences (22:41) Aligned. Score:  70
Sequences (22:42) Aligned. Score:  67
Sequences (22:43) Aligned. Score:  74
Sequences (22:44) Aligned. Score:  72
Sequences (23:24) Aligned. Score:  73
Sequences (23:25) Aligned. Score:  73
Sequences (23:26) Aligned. Score:  73
Sequences (23:27) Aligned. Score:  70
Sequences (23:28) Aligned. Score:  69
Sequences (23:29) Aligned. Score:  71
Sequences (23:30) Aligned. Score:  69
Sequences (23:31) Aligned. Score:  74
Sequences (23:32) Aligned. Score:  75
Sequences (23:33) Aligned. Score:  75
Sequences (23:34) Aligned. Score:  76
Sequences (23:35) Aligned. Score:  73
Sequences (23:36) Aligned. Score:  66
Sequences (23:37) Aligned. Score:  73
Sequences (23:38) Aligned. Score:  76
Sequences (23:39) Aligned. Score:  71
Sequences (23:40) Aligned. Score:  76
Sequences (23:41) Aligned. Score:  69
Sequences (23:42) Aligned. Score:  67
Sequences (23:43) Aligned. Score:  73
Sequences (23:44) Aligned. Score:  72
Sequences (24:25) Aligned. Score:  73
Sequences (24:26) Aligned. Score:  69
Sequences (24:27) Aligned. Score:  74
Sequences (24:28) Aligned. Score:  73
Sequences (24:29) Aligned. Score:  73
Sequences (24:30) Aligned. Score:  75
Sequences (24:31) Aligned. Score:  75
Sequences (24:32) Aligned. Score:  79
Sequences (24:33) Aligned. Score:  77
Sequences (24:34) Aligned. Score:  77
Sequences (24:35) Aligned. Score:  74
Sequences (24:36) Aligned. Score:  72
Sequences (24:37) Aligned. Score:  73
Sequences (24:38) Aligned. Score:  74
Sequences (24:39) Aligned. Score:  77
Sequences (24:40) Aligned. Score:  76
Sequences (24:41) Aligned. Score:  69
Sequences (24:42) Aligned. Score:  67
Sequences (24:43) Aligned. Score:  74
Sequences (24:44) Aligned. Score:  71
Sequences (25:26) Aligned. Score:  71
Sequences (25:27) Aligned. Score:  74
Sequences (25:28) Aligned. Score:  73
Sequences (25:29) Aligned. Score:  70
Sequences (25:30) Aligned. Score:  71
Sequences (25:31) Aligned. Score:  73
Sequences (25:32) Aligned. Score:  75
Sequences (25:33) Aligned. Score:  75
Sequences (25:34) Aligned. Score:  73
Sequences (25:35) Aligned. Score:  74
Sequences (25:36) Aligned. Score:  72
Sequences (25:37) Aligned. Score:  72
Sequences (25:38) Aligned. Score:  75
Sequences (25:39) Aligned. Score:  72
Sequences (25:40) Aligned. Score:  74
Sequences (25:41) Aligned. Score:  67
Sequences (25:42) Aligned. Score:  64
Sequences (25:43) Aligned. Score:  73
Sequences (25:44) Aligned. Score:  69
Sequences (26:27) Aligned. Score:  75
Sequences (26:28) Aligned. Score:  70
Sequences (26:29) Aligned. Score:  69
Sequences (26:30) Aligned. Score:  68
Sequences (26:31) Aligned. Score:  72
Sequences (26:32) Aligned. Score:  73
Sequences (26:33) Aligned. Score:  72
Sequences (26:34) Aligned. Score:  70
Sequences (26:35) Aligned. Score:  74
Sequences (26:36) Aligned. Score:  70
Sequences (26:37) Aligned. Score:  70
Sequences (26:38) Aligned. Score:  74
Sequences (26:39) Aligned. Score:  69
Sequences (26:40) Aligned. Score:  74
Sequences (26:41) Aligned. Score:  67
Sequences (26:42) Aligned. Score:  64
Sequences (26:43) Aligned. Score:  72
Sequences (26:44) Aligned. Score:  70
Sequences (27:28) Aligned. Score:  72
Sequences (27:29) Aligned. Score:  70
Sequences (27:30) Aligned. Score:  71
Sequences (27:31) Aligned. Score:  76
Sequences (27:32) Aligned. Score:  74
Sequences (27:33) Aligned. Score:  74
Sequences (27:34) Aligned. Score:  77
Sequences (27:35) Aligned. Score:  75
Sequences (27:36) Aligned. Score:  72
Sequences (27:37) Aligned. Score:  74
Sequences (27:38) Aligned. Score:  76
Sequences (27:39) Aligned. Score:  70
Sequences (27:40) Aligned. Score:  78
Sequences (27:41) Aligned. Score:  69
Sequences (27:42) Aligned. Score:  69
Sequences (27:43) Aligned. Score:  73
Sequences (27:44) Aligned. Score:  71
Sequences (28:29) Aligned. Score:  73
Sequences (28:30) Aligned. Score:  71
Sequences (28:31) Aligned. Score:  75
Sequences (28:32) Aligned. Score:  75
Sequences (28:33) Aligned. Score:  75
Sequences (28:34) Aligned. Score:  75
Sequences (28:35) Aligned. Score:  75
Sequences (28:36) Aligned. Score:  71
Sequences (28:37) Aligned. Score:  71
Sequences (28:38) Aligned. Score:  74
Sequences (28:39) Aligned. Score:  73
Sequences (28:40) Aligned. Score:  76
Sequences (28:41) Aligned. Score:  65
Sequences (28:42) Aligned. Score:  69
Sequences (28:43) Aligned. Score:  73
Sequences (28:44) Aligned. Score:  71
Sequences (29:30) Aligned. Score:  76
Sequences (29:31) Aligned. Score:  79
Sequences (29:32) Aligned. Score:  76
Sequences (29:33) Aligned. Score:  75
Sequences (29:34) Aligned. Score:  72
Sequences (29:35) Aligned. Score:  74
Sequences (29:36) Aligned. Score:  71
Sequences (29:37) Aligned. Score:  68
Sequences (29:38) Aligned. Score:  71
Sequences (29:39) Aligned. Score:  78
Sequences (29:40) Aligned. Score:  76
Sequences (29:41) Aligned. Score:  67
Sequences (29:42) Aligned. Score:  64
Sequences (29:43) Aligned. Score:  72
Sequences (29:44) Aligned. Score:  69
Sequences (30:31) Aligned. Score:  74
Sequences (30:32) Aligned. Score:  77
Sequences (30:33) Aligned. Score:  76
Sequences (30:34) Aligned. Score:  76
Sequences (30:35) Aligned. Score:  75
Sequences (30:36) Aligned. Score:  69
Sequences (30:37) Aligned. Score:  69
Sequences (30:38) Aligned. Score:  72
Sequences (30:39) Aligned. Score:  75
Sequences (30:40) Aligned. Score:  74
Sequences (30:41) Aligned. Score:  64
Sequences (30:42) Aligned. Score:  69
Sequences (30:43) Aligned. Score:  70
Sequences (30:44) Aligned. Score:  70
Sequences (31:32) Aligned. Score:  78
Sequences (31:33) Aligned. Score:  77
Sequences (31:34) Aligned. Score:  75
Sequences (31:35) Aligned. Score:  77
Sequences (31:36) Aligned. Score:  75
Sequences (31:37) Aligned. Score:  73
Sequences (31:38) Aligned. Score:  75
Sequences (31:39) Aligned. Score:  81
Sequences (31:40) Aligned. Score:  79
Sequences (31:41) Aligned. Score:  68
Sequences (31:42) Aligned. Score:  66
Sequences (31:43) Aligned. Score:  75
Sequences (31:44) Aligned. Score:  71
Sequences (32:33) Aligned. Score:  94
Sequences (32:34) Aligned. Score:  90
Sequences (32:35) Aligned. Score:  84
Sequences (32:36) Aligned. Score:  72
Sequences (32:37) Aligned. Score:  74
Sequences (32:38) Aligned. Score:  76
Sequences (32:39) Aligned. Score:  76
Sequences (32:40) Aligned. Score:  81
Sequences (32:41) Aligned. Score:  69
Sequences (32:42) Aligned. Score:  73
Sequences (32:43) Aligned. Score:  75
Sequences (32:44) Aligned. Score:  74
Sequences (33:34) Aligned. Score:  86
Sequences (33:35) Aligned. Score:  84
Sequences (33:36) Aligned. Score:  70
Sequences (33:37) Aligned. Score:  74
Sequences (33:38) Aligned. Score:  75
Sequences (33:39) Aligned. Score:  75
Sequences (33:40) Aligned. Score:  79
Sequences (33:41) Aligned. Score:  71
Sequences (33:42) Aligned. Score:  70
Sequences (33:43) Aligned. Score:  75
Sequences (33:44) Aligned. Score:  74
Sequences (34:35) Aligned. Score:  81
Sequences (34:36) Aligned. Score:  72
Sequences (34:37) Aligned. Score:  73
Sequences (34:38) Aligned. Score:  73
Sequences (34:39) Aligned. Score:  77
Sequences (34:40) Aligned. Score:  77
Sequences (34:41) Aligned. Score:  71
Sequences (34:42) Aligned. Score:  70
Sequences (34:43) Aligned. Score:  77
Sequences (34:44) Aligned. Score:  74
Sequences (35:36) Aligned. Score:  72
Sequences (35:37) Aligned. Score:  72
Sequences (35:38) Aligned. Score:  75
Sequences (35:39) Aligned. Score:  72
Sequences (35:40) Aligned. Score:  78
Sequences (35:41) Aligned. Score:  71
Sequences (35:42) Aligned. Score:  69
Sequences (35:43) Aligned. Score:  74
Sequences (35:44) Aligned. Score:  74
Sequences (36:37) Aligned. Score:  70
Sequences (36:38) Aligned. Score:  70
Sequences (36:39) Aligned. Score:  70
Sequences (36:40) Aligned. Score:  73
Sequences (36:41) Aligned. Score:  64
Sequences (36:42) Aligned. Score:  63
Sequences (36:43) Aligned. Score:  69
Sequences (36:44) Aligned. Score:  68
Sequences (37:38) Aligned. Score:  80
Sequences (37:39) Aligned. Score:  71
Sequences (37:40) Aligned. Score:  72
Sequences (37:41) Aligned. Score:  71
Sequences (37:42) Aligned. Score:  65
Sequences (37:43) Aligned. Score:  74
Sequences (37:44) Aligned. Score:  72
Sequences (38:39) Aligned. Score:  73
Sequences (38:40) Aligned. Score:  77
Sequences (38:41) Aligned. Score:  72
Sequences (38:42) Aligned. Score:  66
Sequences (38:43) Aligned. Score:  75
Sequences (38:44) Aligned. Score:  73
Sequences (39:40) Aligned. Score:  80
Sequences (39:41) Aligned. Score:  69
Sequences (39:42) Aligned. Score:  68
Sequences (39:43) Aligned. Score:  73
Sequences (39:44) Aligned. Score:  72
Sequences (40:41) Aligned. Score:  75
Sequences (40:42) Aligned. Score:  69
Sequences (40:43) Aligned. Score:  78
Sequences (40:44) Aligned. Score:  75
Sequences (41:42) Aligned. Score:  99
Sequences (41:43) Aligned. Score:  97
Sequences (41:44) Aligned. Score:  98
Sequences (42:43) Aligned. Score:  97
Sequences (42:44) Aligned. Score:  95
Sequences (43:44) Aligned. Score:  98
Guide tree file created:   [/mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/output/clustal/clustal_all.dnd]

There are 43 groups
Start of Multiple Alignment

Aligning...
Group 1: Sequences:   2      Score:21868
Group 2: Sequences:   3      Score:21765
Group 3: Sequences:   2      Score:24678
Group 4: Sequences:   5      Score:21356
Group 5: Sequences:   2      Score:18822
Group 6: Sequences:   3      Score:23270
Group 7: Sequences:   4      Score:23342
Group 8: Sequences:   5      Score:22979
Group 9: Sequences:   6      Score:22231
Group 10: Sequences:   7      Score:21459
Group 11: Sequences:   8      Score:20917
Group 12: Sequences:  13      Score:20200
Group 13: Sequences:   2      Score:24116
Group 14: Sequences:   2      Score:26362
Group 15: Sequences:   2      Score:27397
Group 16: Sequences:   2      Score:27426
Group 17: Sequences:   4      Score:25242
Group 18: Sequences:   6      Score:24846
Group 19: Sequences:   8      Score:22504
Group 20: Sequences:   9      Score:23066
Group 21: Sequences:  10      Score:22433
Group 22: Sequences:  23      Score:20726
Group 23: Sequences:   2      Score:25502
Group 24: Sequences:   3      Score:24564
Group 25: Sequences:   4      Score:25046
Group 26: Sequences:   2      Score:22716
Group 27: Sequences:   6      Score:23247
Group 28: Sequences:   2      Score:21695
Group 29: Sequences:   8      Score:20405
Group 30: Sequences:  31      Score:19891
Group 31: Sequences:   2      Score:26815
Group 32: Sequences:   3      Score:25964
Group 33: Sequences:   4      Score:24728
Group 34: Sequences:   5      Score:20840
Group 35: Sequences:  36      Score:20108
Group 36: Sequences:   2      Score:20609
Group 37: Sequences:   3      Score:21934
Group 38: Sequences:  39      Score:19713
Group 39: Sequences:  40      Score:21720
Group 40: Sequences:   2      Score:20062
Group 41: Sequences:   2      Score:23034
Group 42: Sequences:   4      Score:20347
Group 43: Sequences:  44      Score:18874
Alignment Score 6523187

CLUSTAL-Alignment file created  [/mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/output/clustal/clustal_all.aln]

